"Security Engineer Skill Assessment - Jul 19, 2024 - 4:34:48 PM",,,,,,,,,
,,,,,,,,,
Score Overview ,,,,,,,,,
Azure Security Engineer,Configure and manage SQL database security,Advanced Threat Protection,,,,,,,
Azure Security Engineer,Configure and manage SQL database security,Data Discovery and Classification,,,,,,,
Azure Security Engineer,Configure and manage SQL database security,Dynamic Data Masking,,,,,,,
Azure Security Engineer,Configure and manage Azure Monitor,Contextual Query Language,,,,,,,
Azure Security Engineer,Configure and manage Azure Monitor,Embedded SQL,,,,,,,
Azure Security Engineer,Configure and manage Azure Monitor,Kusto Query Language,,,,,,,
Azure Security Engineer,Enable and manage Microsoft Defender for Cloud,Configure management groups,,,,,,,
Azure Security Engineer,Enable and manage Microsoft Defender for Cloud,Implement Microsoft Defender for Cloud policies,Implement Microsoft Defender for Cloud policies,,,,,,
Azure Security Engineer,Enable and manage Microsoft Defender for Cloud,Create Desired Configuration State scripts,,,,,,,
Azure Security Engineer,Configure and monitor Microsoft Sentinel,A Sentinel playbook can help automate and orchestrate an incident response.,,,,,,,
Azure Security Engineer,Configure and monitor Microsoft Sentinel,A Sentinel playbook be run manually or set to run automatically when specific alerts are triggered.,,,,,,,
Azure Security Engineer,Configure and monitor Microsoft Sentinel,A Sentinel playbook be created to handle several subscriptions at once.,,,,,,,
Security Operations Analyst,Introduction to Microsoft 365 threat protection,Microsoft Defender for Identity,,,,,,,
Security Operations Analyst,Introduction to Microsoft 365 threat protection,Microsoft Defender for Endpoin,,,,,,,
Security Operations Analyst,Introduction to Microsoft 365 threat protection,Microsoft Defender for Office 365,,,,,,,
Security Operations Analyst,Mitigate incidents using Microsoft 365 Defender,True alert,,,,,,,
Security Operations Analyst,Mitigate incidents using Microsoft 365 Defender,High alert,,,,,,,
Security Operations Analyst,Mitigate incidents using Microsoft 365 Defender,Test alert,,,,,,,
Security Operations Analyst,Remediate risks with Microsoft Defender for Office 365,TRUE,,,,,,,
Security Operations Analyst,Remediate risks with Microsoft Defender for Office 365,FALSE,,,,,,,
Security Operations Analyst,Safeguard your environment with Microsoft Defender for Identity,TRUE,,,,,,,
Security Operations Analyst,Safeguard your environment with Microsoft Defender for Identity,FALSE,,,,,,,
Security Operations Analyst,Secure your cloud apps and services with Microsoft Defender for Cloud Apps,Use Azure Information Protection,,,,,,,
Security Operations Analyst,Secure your cloud apps and services with Microsoft Defender for Cloud Apps,Use Conditional Access,,,,,,,
Security Operations Analyst,Secure your cloud apps and services with Microsoft Defender for Cloud Apps,Use the Cloud Discovery Dashboard,,,,,,,
Security Operations Analyst,Respond to data loss prevention alerts using Microsoft 365,Sensitive info types,,,,,,,
Security Operations Analyst,Respond to data loss prevention alerts using Microsoft 365,Retention Policy,,,,,,,
Security Operations Analyst,Respond to data loss prevention alerts using Microsoft 365,Sensitivity label,,,,,,,
